date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
09:50:36	2318/2318	---M--	200	added ('OK')	application/json	date:Thu,%2025%20Feb%202021%2012:50:36%20GMT	http://wplocal.com/index.php/wp-json/oembed/1.0/embed?url=http%3A%2F%2Fwplocal.com%2Findex.php%2F2021%2F02%2F25%2Fola-mundo%2F	/home/suzano/Documentos/GitHub/site-wplocal/WPLocal/wplocal.com/index.php/wp-json/oembed/1.0/embed438e.json	(from http://wplocal.com/index.php/2021/02/25/ola-mundo/)
09:50:36	1705/1705	---M-Z	200	added ('OK')	application/rss+xml	etag:%22e4bcba79ef825fed58faa90fd5ab1d9b-gzip%22	http://wplocal.com/index.php/2021/02/25/ola-mundo/feed/	/home/suzano/Documentos/GitHub/site-wplocal/WPLocal/wplocal.com/index.php/2021/02/25/ola-mundo/feed/index.html	(from http://wplocal.com/index.php/2021/02/25/ola-mundo/)
09:50:37	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Thu,%2025%20Feb%202021%2012:50:37%20GMT	http://wplocal.com/?p=1	/home/suzano/Documentos/GitHub/site-wplocal/WPLocal/wplocal.com/indexcff1.html	(from http://wplocal.com/index.php/2021/02/25/ola-mundo/)
09:50:37	2401/2401	---M-Z	200	added ('OK')	text/xml	date:Thu,%2025%20Feb%202021%2012:50:37%20GMT	http://wplocal.com/index.php/wp-json/oembed/1.0/embed?url=http%3A%2F%2Fwplocal.com%2Findex.php%2F2021%2F02%2F25%2Fola-mundo%2F&format=xml	/home/suzano/Documentos/GitHub/site-wplocal/WPLocal/wplocal.com/index.php/wp-json/oembed/1.0/embedea67	(from http://wplocal.com/index.php/2021/02/25/ola-mundo/)
09:50:38	42/42	---M--	405	error ('Method%20Not%20Allowed')	text/plain	date:Thu,%2025%20Feb%202021%2012:50:38%20GMT	http://wplocal.com/xmlrpc.php	/home/suzano/Documentos/GitHub/site-wplocal/WPLocal/wplocal.com/xmlrpc.php	(from http://wplocal.com/index.php/2021/02/25/ola-mundo/)
09:50:39	3671/3671	---M--	200	added ('OK')	image/png	date:Thu,%2026%20Mar%202020%2022:12:54%20GMT	http://1.gravatar.com/avatar/d7a973c7dab26985da5f961be7b74480?s=60&d=mm&r=g	/home/suzano/Documentos/GitHub/site-wplocal/WPLocal/1.gravatar.com/avatar/d7a973c7dab26985da5f961be7b74480c50c.png	(from http://wplocal.com/index.php/2021/02/25/ola-mundo/)
09:50:40	2982/2982	---M-Z	200	added ('OK')	application/javascript	etag:%22ba6-5b9cf2aeb8440-gzip%22	http://wplocal.com/wp-includes/js/comment-reply.min.js?ver=5.6.2	/home/suzano/Documentos/GitHub/site-wplocal/WPLocal/wplocal.com/wp-includes/js/comment-reply.min4c7e.js	(from http://wplocal.com/index.php/2021/02/25/ola-mundo/)
09:50:40	9054/9054	---M-Z	200	added ('OK')	text/html	date:Thu,%2025%20Feb%202021%2012:50:40%20GMT	http://wplocal.com/index.php/author/w3wplocal/	/home/suzano/Documentos/GitHub/site-wplocal/WPLocal/wplocal.com/index.php/author/w3wplocal/index.html	(from http://wplocal.com/index.php/2021/02/25/ola-mundo/)
09:50:41	13658/13658	---M-Z	200	added ('OK')	text/html	date:Thu,%2025%20Feb%202021%2012:50:41%20GMT	http://wplocal.com/index.php/2021/02/25/ola-mundo/?replytocom=1	/home/suzano/Documentos/GitHub/site-wplocal/WPLocal/wplocal.com/index.php/2021/02/25/ola-mundo/index6809.html	(from http://wplocal.com/index.php/2021/02/25/ola-mundo/)
09:50:41	613/613	---M--	200	added ('OK')	application/json	date:Thu,%2025%20Feb%202021%2012:50:41%20GMT	http://wplocal.com/index.php/wp-json/wp/v2/users/1	/home/suzano/Documentos/GitHub/site-wplocal/WPLocal/wplocal.com/index.php/wp-json/wp/v2/users/1.json	(from http://wplocal.com/index.php/author/w3wplocal/)
09:50:41	8291/8291	---MC-	404	error ('Not%20Found')	text/html	date:Thu,%2025%20Feb%202021%2012:50:41%20GMT	http://wplocal.com/index.php/2021/02/25/ola-mundo/Trident/	/home/suzano/Documentos/GitHub/site-wplocal/WPLocal/wplocal.com/index.php/2021/02/25/ola-mundo/Trident/index.html	(from http://wplocal.com/index.php/2021/02/25/ola-mundo/)
09:50:42	187/187	---M--	200	added ('OK')	text/plain	etag:%22599703f9-bb%22	http://1.gravatar.com/robots.txt		(from http://wplocal.com/index.php/2021/02/25/ola-mundo/)
09:50:42	1765/1765	---M-Z	200	added ('OK')	application/rss+xml	etag:%22e4bcba79ef825fed58faa90fd5ab1d9b-gzip%22	http://wplocal.com/index.php/author/w3wplocal/feed/	/home/suzano/Documentos/GitHub/site-wplocal/WPLocal/wplocal.com/index.php/author/w3wplocal/feed/index.html	(from http://wplocal.com/index.php/author/w3wplocal/)
09:50:43	8291/8291	---MC-	404	error ('Not%20Found')	text/html	date:Thu,%2025%20Feb%202021%2012:50:42%20GMT	http://wplocal.com/index.php/author/w3wplocal/Trident/	/home/suzano/Documentos/GitHub/site-wplocal/WPLocal/wplocal.com/index.php/author/w3wplocal/Trident/index.html	(from http://wplocal.com/index.php/author/w3wplocal/)
09:50:43	1765/1765	--F---	200	added ('OK%20(cached)')	text/html		http://wplocal.com/index.php/author/w3wplocal/feed/	/home/suzano/Documentos/GitHub/site-wplocal/WPLocal/wplocal.com/index.php/author/w3wplocal/feed/index.html	(from http://wplocal.com/index.php/author/w3wplocal/)
09:50:43	1705/1705	--F---	200	added ('OK%20(cached)')	text/html		http://wplocal.com/index.php/2021/02/25/ola-mundo/feed/	/home/suzano/Documentos/GitHub/site-wplocal/WPLocal/wplocal.com/index.php/2021/02/25/ola-mundo/feed/index.html	(from http://wplocal.com/index.php/2021/02/25/ola-mundo/)
09:50:43	391/391	UR-MC-	416	error ('Requested%20Range%20Not%20Satisfiable')	text/html	date:Thu,%2025%20Feb%202021%2012:50:43%20GMT	http://wplocal.com/wp-content/themes/twentytwentyone/assets/js/responsive-embeds.js?ver=1.1	/home/suzano/Documentos/GitHub/site-wplocal/WPLocal/wplocal.com/wp-content/themes/twentytwentyone/assets/js/responsive-embeds4963.js	(from http://wplocal.com/)
09:50:43	391/391	UR-MC-	416	error ('Requested%20Range%20Not%20Satisfiable')	text/html	date:Thu,%2025%20Feb%202021%2012:50:43%20GMT	http://wplocal.com/wp-includes/js/wp-embed.min.js?ver=5.6.2	/home/suzano/Documentos/GitHub/site-wplocal/WPLocal/wplocal.com/wp-includes/js/wp-embed.min4c7e.js	(from http://wplocal.com/)
09:50:44	391/391	UR-MC-	416	error ('Requested%20Range%20Not%20Satisfiable')	text/html	date:Thu,%2025%20Feb%202021%2012:50:44%20GMT	http://wplocal.com/index.php/wp-json/wp/v2/posts/1	/home/suzano/Documentos/GitHub/site-wplocal/WPLocal/wplocal.com/index.php/wp-json/wp/v2/posts/1.json	(from http://wplocal.com/index.php/2021/02/25/ola-mundo/)
09:50:45	1830/1830	---M--	200	added ('OK')	application/json	date:Thu,%2025%20Feb%202021%2012:50:45%20GMT	http://wplocal.com/index.php/wp-json/wp/v2/posts/1	/home/suzano/Documentos/GitHub/site-wplocal/WPLocal/wplocal.com/index.php/wp-json/wp/v2/posts/1.json	(from http://wplocal.com/index.php/wp-json/wp/v2/posts/1)
09:50:45	391/391	UR-MC-	416	error ('Requested%20Range%20Not%20Satisfiable')	text/html	date:Thu,%2025%20Feb%202021%2012:50:45%20GMT	http://wplocal.com/index.php/wp-json/wp/v2/users/1	/home/suzano/Documentos/GitHub/site-wplocal/WPLocal/wplocal.com/index.php/wp-json/wp/v2/users/1.json	(from http://wplocal.com/index.php/author/w3wplocal/)
09:50:46	613/613	---M--	200	added ('OK')	application/json	date:Thu,%2025%20Feb%202021%2012:50:46%20GMT	http://wplocal.com/index.php/wp-json/wp/v2/users/1	/home/suzano/Documentos/GitHub/site-wplocal/WPLocal/wplocal.com/index.php/wp-json/wp/v2/users/1.json	(from http://wplocal.com/index.php/wp-json/wp/v2/users/1)
